SA,Mean LPIPS,sd LPIPS,Mean RMSE,sd RMSE,Mean CIEDE2000,SD CIEDE2000,Model,Prompts,Strength,Quality
A ,0.0140930769497893,0.005246987176758,0.0661818212955385,0.0167478960231311,3.3246708510577,0.670218033777437,A ,None,None,4
B ,0.0156936051824396,0.00791415553327174,0.0649650893174112,0.0288888224570881,3.05126422013354,1.07763138863372,B ,None,None,4
C ,0.0179446235773237,0.00852243942695543,0.0583400449942093,0.0209561047930696,2.18705635657532,0.586195752690112,C ,None,None,4
D ,0.0122739469943721,0.00565934981962311,0.0542519343261783,0.0155133813081861,2.62794615157234,0.613109994071408,D ,None,None,4
1,0.0192470092558734,0.00773313263327856,0.0884110864151169,0.0176501989811953,6.2608771999632,1.50523169490433,A ,P1,low,1
2,0.0262809128309792,0.0118336808410366,0.0945418657281914,0.0201168564835332,6.71216094285267,1.11797101581024,A ,P2,low,2
3,0.0233539705645674,0.00840822734861272,0.0985980173824607,0.0197362913926545,8.82898575224981,1.4708341075789,A ,P3,low,3
4,0.0235665795454168,0.010494292190962,0.0923117357935455,0.019326000435933,6.61096898499854,1.34431822443432,A ,P4,low,3
5,0.0257189367308241,0.0114564391801002,0.0963445227291133,0.0188672174133641,6.07045773422109,1.01209756922361,A ,P5,low,1
6,0.0220555008865405,0.0107620765297726,0.0956395346973393,0.0169116665548502,8.60075518230417,1.63676842952592,A ,P6,low,2
7,0.0198982436693558,0.00722023251182088,0.0937604821614317,0.024976727968726,5.89761248060423,0.819149304498206,A ,P7,low,3
8,0.02093880783726,0.00909188593190776,0.0825251954028735,0.0176118722414895,4.74754752306237,0.674670299919737,A ,P8,low,1
9,0.0346222265844637,0.0100381738760441,0.0962527569176422,0.029082651191643,6.73279571774296,1.63654845421554,B ,P1,low,1
10,0.0439046517572866,0.0136841248026655,0.0938537232577801,0.0279045619355829,7.43288393934374,1.37144642253553,B ,P2,low,3
11,0.0315824147462586,0.00968022367094631,0.101320122886035,0.0270870491902449,8.21837715165916,1.2308991883972,B ,P3,low,3
12,0.0308574049931454,0.0109483818858963,0.108684762484497,0.0313407946778501,8.68443011214281,1.94311599744486,B ,P4,low,2
13,0.0389256628543427,0.0144545682942909,0.0885411063209176,0.0214505958367909,5.95818491382701,1.20480551462291,B ,P5,low,2
14,0.0370620466680044,0.0118335336432643,0.101080023373167,0.0284499892461447,8.43736727318506,1.87819594516121,B ,P6,low,2
15,0.0245251713209895,0.0101388459254914,0.0840194747886724,0.0209255765756971,7.49214028733155,1.11355691001175,B ,P7,low,3
16,0.0322399452728128,0.0122071727220512,0.0876418168966969,0.0287765463427837,5.76607923406743,1.02885688107124,B ,P8,low,2
17,0.0367037949008507,0.0126627813544704,0.0854057808582847,0.0228833293699451,4.33270672120971,1.11003070289007,C ,P1,low,0
18,0.0364255748060602,0.0130012311725323,0.0855246211427289,0.0213513973484948,6.14148334775138,1.11076993291943,C ,P2,low,3
19,0.0345858240022345,0.0107727461090298,0.0929595700188263,0.0267316090504647,6.88482626249439,1.58313498816175,C ,P3,low,3
20,0.0298446380764361,0.015304442927253,0.110148465311205,0.0250394589239889,9.22015139313184,1.93449454855932,C ,P4,low,1
21,0.0454594227624698,0.0159533992054929,0.0784048070577351,0.024745480295334,4.12595940752685,0.794188375396482,C ,P5,low,1
22,0.0392171276675896,0.0154542529941359,0.0933790422371916,0.0233308594519035,5.40657970060641,1.21772370329961,C ,P6,low,2
23,0.0262329630029529,0.0125499902802151,0.0752194866135314,0.0177914019818185,4.06784791652717,0.992561441556033,C ,P7,low,3
24,0.0396322141479979,0.0134492374895977,0.0848420133461823,0.0188226314415889,4.33011518425071,0.800314784981521,C ,P8,low,1
25,0.022419445737623,0.00901927675213609,0.0823437502053944,0.0167515028053423,5.34860893392324,0.781318250484436,D ,P1,low,0
26,0.0257465650690983,0.0112452243730838,0.0831153663630421,0.0160415185106618,6.01784037544029,1.04174432286282,D ,P2,low,3
